variant,recall,precision,f2,roc_auc,pr_auc,brier
feature_set_A (degree_category),0.8850671140939598,0.8598207008964955,0.8798999165971643,0.9218160635691952,0.9401044663111201,0.10862126159109842
feature_set_B (degree),0.8842281879194631,0.8576078112286412,0.8787727196931799,0.9213281421145918,0.9396601035858498,0.10911950847943433
DELTA (A - B),0.000838926174496657,0.0022128896678543786,0.0011271969039843288,0.00048792145460341274,0.0004443627252702642,-0.0004982468883359126
