threshold,recall,precision,f2,flagged_pct
0.1,1.0,0.5858933398869501,0.8761484748254318,1.0
0.11,1.0,0.5861814605360216,0.8762772917738734,0.9995084787417056
0.12,1.0,0.5869030034465781,0.8765994999264598,0.9982796755959695
0.13,1.0,0.5877712031558185,0.8769864626250736,0.9968051118210862
0.14,1.0,0.5889328063241107,0.8775029446407538,0.9948390267879086
0.15,1.0,0.5903912828132739,0.8781494032709591,0.9923814204964365
0.16,1.0,0.5928873414573489,0.8792505716603969,0.9882034898009339
0.17,0.9991610738255033,0.5980416771277931,0.8809823211776019,0.9788645858933399
0.18,0.9991610738255033,0.6025803187452567,0.882941656164282,0.9714917670189236
0.19,0.9987416107382551,0.6080183861082737,0.8849985132322331,0.9623986237404768
0.2,0.9987416107382551,0.6144516129032258,0.8877041234807248,0.9523224379454411
0.21,0.9983221476510067,0.6194690265486725,0.889520107639408,0.9442123371835832
0.22,0.9979026845637584,0.6282017428043306,0.8928169331231705,0.9306955025804866
0.23,0.9970637583892618,0.6367532815429949,0.8956967367548421,0.9174244286065373
0.24,0.9953859060402684,0.6439620081411126,0.8974358974358975,0.9056279184074711
0.25,0.9945469798657718,0.650480109739369,0.8994006524542902,0.8957974932415826
0.26,0.9932885906040269,0.6557740238161174,0.9005856849471362,0.8874416318505776
0.27,0.9928691275167785,0.6639551192145863,0.903366155255324,0.8761366429098059
0.28,0.9916107382550335,0.6704480998298356,0.9049150206706477,0.8665519783730646
0.29,0.9911912751677853,0.6790229885057472,0.9077289489858635,0.8552469894322929
0.3,0.9899328859060402,0.6874453830468977,0.9098619785642686,0.8436962398623741
0.31,0.9865771812080537,0.6931918656056587,0.9095831077422848,0.8338658146964856
0.32,0.9853187919463087,0.6993152724025008,0.9108181465684374,0.8255099533054805
0.33,0.9848993288590604,0.7063778580024067,0.9129082426127527,0.8169083312853281
0.34,0.9823825503355704,0.7148962148962149,0.9139868872931627,0.805111821086262
0.35,0.9811241610738255,0.721245760098674,0.9151733312465764,0.7970017203244041
0.36,0.9794463087248322,0.7296875,0.9166928391959799,0.786434013271074
0.37,0.977768456375839,0.7353312302839117,0.9172831733039509,0.7790611943966577
0.38,0.9760906040268457,0.742501595405233,0.9183109707971586,0.770213811747358
0.39,0.9731543624161074,0.7495961227786753,0.9183754255403372,0.7606291472106168
0.4,0.9702181208053692,0.7573673870333988,0.9185861795075456,0.7505529614155813
0.41,0.9664429530201343,0.764179104477612,0.9178551509839853,0.74096829687884
0.42,0.9626677852348994,0.7706514439220954,0.9169729902509189,0.7318751536003932
0.43,0.9567953020134228,0.7774369461486026,0.9145950280673617,0.721061685917916
0.44,0.9509228187919463,0.7847005884389062,0.9122736418511066,0.7100024576062914
0.45,0.9442114093959731,0.7940035273368606,0.9097890227144128,0.6967313836323421
0.46,0.9387583892617449,0.8015759312320917,0.9076898118105127,0.686163676579012
0.47,0.9320469798657718,0.8068264342774146,0.9039869812855981,0.676824772671418
0.48,0.923238255033557,0.8121771217712177,0.898660787195819,0.6660113049889408
0.49,0.9156879194630873,0.818215892053973,0.8943788921665028,0.655689358564758
0.5,0.9089765100671141,0.8264683447749809,0.8911827603224215,0.6443843696239863
0.51,0.9005872483221476,0.8324932144241954,0.8860916219562526,0.6338166625706562
0.52,0.8905201342281879,0.8387988937178981,0.8796718322698268,0.62202015237159
0.53,0.8800335570469798,0.8473344103392568,0.8732933732933733,0.6085033177684935
0.54,0.8737416107382551,0.854739433729996,0.8698738829031989,0.5989186532317523
0.55,0.8640939597315436,0.860125260960334,0.863297292766742,0.5885967068075695
0.56,0.8557046979865772,0.8677158655891111,0.8580802557415664,0.5777832391250921
0.57,0.8422818791946308,0.8745644599303136,0.8485463150777552,0.5642664045219956
0.58,0.8271812080536913,0.8787878787878788,0.8370118845500849,0.5514868518063406
0.59,0.8125,0.8828623518687329,0.8256606990622336,0.5391988203489801
0.6,0.7961409395973155,0.8885767790262172,0.8130568882796436,0.5249447038584418
0.61,0.7848154362416108,0.8960727969348659,0.8048004129387474,0.5131481936593758
0.62,0.7692953020134228,0.8994605198626778,0.7922246220302376,0.5011059228311624
0.63,0.7512583892617449,0.9050025265285497,0.7776812852800695,0.4863602850823298
0.64,0.735738255033557,0.9106957424714434,0.7651369743500261,0.47333497173752764
0.65,0.725251677852349,0.9162692103868575,0.7568064431410313,0.4637503072007864
0.66,0.7088926174496645,0.9214830970556162,0.7431838170624451,0.45072499385598425
0.67,0.6887583892617449,0.9235095613048369,0.7256496376171115,0.4369623986237405
0.68,0.6707214765100671,0.925883034163289,0.7098463997158838,0.42442860653723274
0.69,0.6531040268456376,0.9306634787806336,0.6945311803015434,0.41115753256328336
0.7,0.6308724832214765,0.9353233830845771,0.674802584350323,0.3951830916687147
0.71,0.6115771812080537,0.9412524209167205,0.6576454668470907,0.38068321454902926
0.72,0.5918624161073825,0.9450770261219023,0.6396772146160123,0.36692061931678543
0.73,0.5750838926174496,0.9501039501039501,0.6243738045359323,0.3546325878594249
0.74,0.5469798657718121,0.9525200876552228,0.597890875745071,0.33644630130253134
0.75,0.5197147651006712,0.9567567567567568,0.5719693472440218,0.31826001474563775
0.76,0.4903523489932886,0.9581967213114754,0.5434176273707698,0.29982796755959695
0.77,0.46518456375838924,0.9610051993067591,0.5187090739008419,0.28360776603588106
0.78,0.43078859060402686,0.9661335841956726,0.48447966789319746,0.2612435487834849
0.79,0.39303691275167785,0.9699792960662525,0.4461055037135784,0.23740476775620545
0.8,0.3527684563758389,0.9677790563866513,0.40413262854396925,0.21356598672892602
0.81,0.3183724832214765,0.9681122448979592,0.36773255813953487,0.19267633325141312
0.82,0.2751677852348993,0.9704142011834319,0.32119075597336466,0.16613418530351437
0.83,0.23028523489932887,0.973404255319149,0.2717821782178218,0.13860899483902678
0.84,0.19337248322147652,0.9787685774946921,0.2303387628659938,0.1157532563283362
0.85,0.1606543624161074,0.982051282051282,0.19292766471892,0.09584664536741214
0.86,0.125,0.9867549668874173,0.15145354746899775,0.07421971000245761
0.87,0.09144295302013423,0.9954337899543378,0.11173757047667862,0.05382157778323912
0.88,0.059983221476510064,1.0,0.07387126769294348,0.03514376996805112
0.89,0.031459731543624164,1.0,0.03901779211320362,0.018432047186040797
0.9,0.013842281879194632,1.0,0.017243181105653673,0.00811010076185795
