threshold,recall,precision,f2,flagged_pct
0.1,0.9865771812080537,0.7052473763118441,0.9136819205966903,0.8196116982059474
0.11,0.9861577181208053,0.7124242424242424,0.9157837332502338,0.811010076185795
0.12,0.9840604026845637,0.7189702727551334,0.9164778498320181,0.8019169329073482
0.13,0.9828020134228188,0.7240420271940667,0.9172408393360476,0.7952813959203735
0.14,0.9794463087248322,0.7283218964441672,0.9162611834876786,0.7879085770459573
0.15,0.9769295302013423,0.7330815234497954,0.9159915047589082,0.7807815188006881
0.16,0.9760906040268457,0.7394343819510645,0.9173697074824568,0.7734086999262718
0.17,0.9744127516778524,0.7438360550752482,0.9175290307291255,0.7675104448267388
0.18,0.9718959731543624,0.7508101101749838,0.9178418634130883,0.758417301548292
0.19,0.9702181208053692,0.7534201954397394,0.9174202760590195,0.7544851314819366
0.2,0.9697986577181208,0.7577843330055719,0.9184078811472154,0.7498156795281395
0.21,0.9685402684563759,0.7612924497197494,0.9185297159678574,0.7453919882034898
0.22,0.9664429530201343,0.764179104477612,0.9178551509839853,0.74096829687884
0.23,0.9651845637583892,0.7675116744496331,0.917903303015797,0.7367903661833374
0.24,0.9635067114093959,0.7723604572965703,0.9180655475619505,0.7308921110838044
0.25,0.9626677852348994,0.7761244504565438,0.9185143680461059,0.7267141803883018
0.26,0.9609899328859061,0.7800476676881172,0.9183837088110318,0.7217989678053576
0.27,0.9580536912751678,0.7856897144822842,0.9177851000562566,0.7144261489309413
0.28,0.9559563758389261,0.790496011099549,0.917545696110798,0.7085278938314082
0.29,0.9526006711409396,0.7943336831059811,0.9160951996772893,0.7026296387318751
0.3,0.9521812080536913,0.7981715893108298,0.9168012924071083,0.698943229294667
0.31,0.950503355704698,0.8021238938053097,0.9165925086967074,0.69427377734087
0.32,0.9488255033557047,0.8067047075606276,0.9165316045380876,0.6891128041287786
0.33,0.9475671140939598,0.8088077336197637,0.9161326952713116,0.6864094372081593
0.34,0.9454697986577181,0.8102084831056794,0.9149212534502354,0.6837060702875399
0.35,0.9412751677852349,0.8139281828073993,0.9127145529976409,0.6775620545588596
0.36,0.9387583892617449,0.8185808339429408,0.9119804400977995,0.6719095600884738
0.37,0.9370805369127517,0.8201174743024964,0.9110929853181077,0.6694519537970017
0.38,0.9316275167785235,0.8235076010381905,0.9077904030082563,0.662816416810027
0.39,0.9291107382550335,0.8261842596046252,0.9065236964884996,0.6588842467436716
0.4,0.9253355704697986,0.8293233082706767,0.904394883568383,0.6537232735315802
0.41,0.9190436241610739,0.8333967287942183,0.9005343197698314,0.6461046940280167
0.42,0.9169463087248322,0.8372271160474913,0.8998106528360912,0.6416810027033669
0.43,0.9148489932885906,0.8407864302235929,0.8990107172300082,0.6375030720078644
0.44,0.9110738255033557,0.8441507967353284,0.8968535799818317,0.632342098795773
0.45,0.9056208053691275,0.8486635220125787,0.8936258278145696,0.6252150405505038
0.46,0.8980704697986577,0.8509538950715422,0.8882343179555261,0.6183337429343819
0.47,0.8955536912751678,0.8522954091816367,0.8865542729009218,0.6156303760137626
0.48,0.8921979865771812,0.854903536977492,0.8844810379241517,0.61145244531826
0.49,0.886744966442953,0.8558704453441296,0.8803931367649509,0.6070287539936102
0.5,0.8850671140939598,0.8598207008964955,0.8798999165971643,0.6030965839272548
0.51,0.8787751677852349,0.8607230895645028,0.8751044277360067,0.5981813713443106
0.52,0.8754194630872483,0.8627532038032245,0.8728565453785028,0.5944949619071025
0.53,0.8699664429530202,0.8674194897532413,0.8694558564601325,0.5876136642909806
0.54,0.8657718120805369,0.8701517706576728,0.8666442727578099,0.5829442123371836
0.55,0.8628355704697986,0.8734607218683652,0.8649398704902868,0.578766281641681
0.56,0.8573825503355704,0.8768768768768769,0.8612117637145024,0.572868026542148
0.57,0.8519295302013423,0.8784602076124568,0.8571066846725186,0.568198574588351
0.58,0.8464765100671141,0.8816076889471385,0.853276955602537,0.5625460801179651
0.59,0.8422818791946308,0.8857520952801059,0.8506311954587816,0.5571393462767265
0.6,0.8385067114093959,0.8872614292055038,0.8478242429383324,0.5536986974686655
0.61,0.834731543624161,0.8891867739052726,0.8450823849159165,0.5500122880314574
0.62,0.8301174496644296,0.8918431726002704,0.8417694598043386,0.5453428360776603
0.63,0.8238255033557047,0.8935395814376706,0.8368842679393216,0.5401818628655689
0.64,0.8166946308724832,0.8947610294117647,0.8311987704918032,0.5347751290243303
0.65,0.8120805369127517,0.8975428836346778,0.8278457196613358,0.5301056770705334
0.66,0.8057885906040269,0.9001874414245549,0.823050556983719,0.5244531826001475
0.67,0.7978187919463087,0.9044222539229672,0.8170805051980411,0.5168346030965839
0.68,0.7915268456375839,0.9063400576368876,0.8121019108280255,0.5116736298844925
0.69,0.7860738255033557,0.9097087378640777,0.808037254225595,0.5062668960432539
0.7,0.7810402684563759,0.9105134474327629,0.8039029444780244,0.5025804866060457
0.71,0.7743288590604027,0.9143140168400198,0.7987884032886197,0.49619071024821826
0.72,0.7659395973154363,0.9143715573360041,0.7916413769184081,0.4907839764069796
0.73,0.7550335570469798,0.916030534351145,0.7825406486392488,0.48291963627426887
0.74,0.7445469798657718,0.92016588906169,0.7740950719581334,0.4740722536249693
0.75,0.7332214765100671,0.9214549288350027,0.764453774162512,0.46620791349225854
0.76,0.7218959731543624,0.9237788513150832,0.754890779892973,0.4578520521012534
0.77,0.714765100671141,0.9275993467610234,0.7491427064099182,0.4514622757434259
0.78,0.7067953020134228,0.9293987865416437,0.7423561547272888,0.44556402064389283
0.79,0.6958892617449665,0.929932735426009,0.732773851590106,0.43843696239862373
0.8,0.6870805369127517,0.9306818181818182,0.7250354107648725,0.43253870729909066
0.81,0.6749161073825504,0.9322132097334879,0.7143491386965015,0.4241828459080855
0.82,0.6640100671140939,0.9344746162927982,0.7048085485307213,0.41631850577537477
0.83,0.6510067114093959,0.9400363416111448,0.6936622865826406,0.4057507987220447
0.84,0.635486577181208,0.9427504667081519,0.6797989769361932,0.39493733103956746
0.85,0.6182885906040269,0.9521963824289406,0.6649224106820643,0.38043745391988204
0.86,0.5994127516778524,0.9552139037433155,0.6476613488034808,0.3676579012042271
0.87,0.5822147651006712,0.9579020013802623,0.6317705962676377,0.35610715163430817
0.88,0.5604026845637584,0.962536023054755,0.6114976199194434,0.3411157532563283
0.89,0.5360738255033557,0.9659863945578231,0.588451975320011,0.32514131236175964
0.9,0.510486577181208,0.9674085850556439,0.5637391143227719,0.30916687146719096
