variant,recall,precision,f2,roc_auc,pr_auc,brier
with_suicidal_thoughts,0.8850671140939598,0.8598207008964955,0.8798999165971643,0.9218160635691952,0.9401044663111201,0.10862126159109842
without_suicidal_thoughts,0.8578020134228188,0.8163672654690619,0.8491819616310937,0.8758561030012147,0.9030751605576874,0.13920253462290108
DELTA (with - without),0.027265100671140963,0.04345343542743363,0.03071795496607055,0.04595996056798046,0.03702930575343266,-0.030581273031802664
