threshold,recall,precision,f2,flagged_pct
0.1,1.0,0.5858933398869501,0.8761484748254318,1.0
0.11,1.0,0.5858933398869501,0.8761484748254318,1.0
0.12,1.0,0.5858933398869501,0.8761484748254318,1.0
0.13,1.0,0.5858933398869501,0.8761484748254318,1.0
0.14,1.0,0.5858933398869501,0.8761484748254318,1.0
0.15,1.0,0.5858933398869501,0.8761484748254318,1.0
0.16,1.0,0.5858933398869501,0.8761484748254318,1.0
0.17,1.0,0.5858933398869501,0.8761484748254318,1.0
0.18,1.0,0.5858933398869501,0.8761484748254318,1.0
0.19,1.0,0.5858933398869501,0.8761484748254318,1.0
0.2,1.0,0.5858933398869501,0.8761484748254318,1.0
0.21,1.0,0.5858933398869501,0.8761484748254318,1.0
0.22,1.0,0.5858933398869501,0.8761484748254318,1.0
0.23,1.0,0.5860373647984267,0.8762128785651279,0.9997542393708528
0.24,1.0,0.5861814605360216,0.8762772917738734,0.9995084787417056
0.25,1.0,0.5867585527935023,0.876535039341128,0.9985254362251167
0.26,1.0,0.5870475252400886,0.8766639699933809,0.9980339149668224
0.27,1.0,0.5879161528976572,0.8770509896254874,0.9965593511919391
0.28,1.0,0.5884966674895088,0.8773091926105836,0.9955763086753502
0.29,1.0,0.5895153313550939,0.8777614138438881,0.9938559842713197
0.3,1.0,0.5921510183805265,0.8789264120336233,0.9894322929466699
0.31,1.0,0.5954045954045954,0.880354505169867,0.9840255591054313
0.32,0.9991610738255033,0.5981918633852336,0.8810474922325788,0.9786188252641926
0.33,0.9983221476510067,0.6031424227065383,0.8826583592938733,0.9697714426148931
0.34,0.99748322147651,0.6088069636456733,0.8845409909239696,0.9599410174490046
0.35,0.9966442953020134,0.6144297905352987,0.8863687234201298,0.9503563529122635
0.36,0.9966442953020134,0.6215014386607376,0.8892881203682911,0.9395428852297862
0.37,0.9962248322147651,0.6291390728476821,0.8921192998272106,0.9277463750307201
0.38,0.9937080536912751,0.6395788336933045,0.8946374622356495,0.9102973703612681
0.39,0.9924496644295302,0.6516111264114569,0.8984582668793195,0.8923568444335217
0.4,0.9899328859060402,0.6621773288439955,0.9007633587786259,0.8758908822806586
0.41,0.9865771812080537,0.6735395189003437,0.9026711697881487,0.8581961169820594
0.42,0.9836409395973155,0.68387284922718,0.9043578866178172,0.8427131973457852
0.43,0.9807046979865772,0.6989536621823618,0.9075382346091142,0.8220693044974196
0.44,0.9744127516778524,0.7147692307692308,0.9084154544032536,0.7987220447284346
0.45,0.9718959731543624,0.7299936988027725,0.9114870180959874,0.7800442369132465
0.46,0.9639261744966443,0.7420083952211818,0.9095226786986464,0.7611206684689112
0.47,0.9580536912751678,0.7585519760876785,0.9101777317287001,0.7399852543622512
0.48,0.9467281879194631,0.772945205479452,0.9059890815671162,0.717621037109855
0.49,0.9362416107382551,0.7839831401475237,0.9012355648873456,0.6996805111821086
0.5,0.924496644295302,0.795380728978708,0.8954253676769318,0.6810027033669206
0.51,0.9093959731543624,0.8107703814510098,0.8877968877968878,0.6571639223396412
0.52,0.8921979865771812,0.8260194174757282,0.8781273222690117,0.6328336200540673
0.53,0.87248322147651,0.8360128617363344,0.8649367930805056,0.61145244531826
0.54,0.8523489932885906,0.8494983277591973,0.85177733065057,0.5878594249201278
0.55,0.8280201342281879,0.8627622377622378,0.834742895805142,0.5623003194888179
0.56,0.8028523489932886,0.8743718592964824,0.8162046908315566,0.537970017203244
0.57,0.7751677852348994,0.8825214899713467,0.7944969905417025,0.514622757434259
0.58,0.7466442953020134,0.8917835671342685,0.7717655220256677,0.4905382157778324
0.59,0.714765100671141,0.9015873015873016,0.7456677752494312,0.46448758908822807
0.6,0.6795302013422819,0.9168081494057725,0.7166239051579226,0.43425903170312113
0.61,0.6363255033557047,0.92782874617737,0.6789902425924268,0.40181862865568935
0.62,0.5939597315436241,0.9371277299801456,0.6408979813524034,0.37134431064143525
0.63,0.5486577181208053,0.9485134155184917,0.5991754466330738,0.33890390759400346
0.64,0.5075503355704698,0.9542586750788643,0.5599777860051832,0.3116244777586631
0.65,0.46434563758389263,0.9601040763226366,0.5178220600617457,0.28336200540673384
0.66,0.41317114093959734,0.9628543499511242,0.4664267449569088,0.25141312361759643
0.67,0.37458053691275167,0.9695982627578719,0.4269867074686813,0.22634553944458097
0.68,0.32676174496644295,0.9701120797011208,0.37672889060837605,0.19734578520521012
0.69,0.28187919463087246,0.9824561403508771,0.3287671232876712,0.16810027033669206
0.7,0.23280201342281878,0.9823008849557522,0.27472527472527475,0.138854755468174
0.71,0.19630872483221476,0.9852631578947368,0.23374288282888822,0.11673629884492505
0.72,0.1593959731543624,0.987012987012987,0.1915129523233545,0.09461784222167609
0.73,0.12458053691275167,0.9867109634551495,0.15096065873741996,0.0739739493733104
0.74,0.09605704697986577,0.9956521739130435,0.11724349784968258,0.056524944703858444
0.75,0.0738255033557047,0.9943502824858758,0.09060022650056625,0.04349963135905628
0.76,0.05285234899328859,1.0,0.06520389153384393,0.030965839272548538
0.77,0.03649328859060403,1.0,0.045204198274966224,0.021381174735807324
0.78,0.02097315436241611,1.0,0.02607969956186105,0.012288031457360531
0.79,0.009228187919463088,1.0,0.011508683825068006,0.005406733841238634
0.8,0.003355704697986577,1.0,0.004191114836546521,0.001966085033177685
0.81,0.0008389261744966443,1.0,0.0010484378276368212,0.0004915212582944212
0.82,0.0,0.0,0.0,0.0
0.83,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0
0.87,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0
0.89,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
