feature,importance_mean,importance_std
suicidal_thoughts,0.09569731453863786,0.004277685526122164
academic_pressure,0.06391625721634764,0.0039046296774952046
financial_stress,0.027067740694358224,0.001796265349109377
age,0.0069907210724128085,0.0014181533529335755
work_study_hours,0.00476179909601937,0.00187901645082914
dietary_habits_unhealthy,0.003041879175057083,0.001799931064780754
study_satisfaction,0.0026094022058710032,0.001878749052987108
dietary_habits_healthy,0.0022529789224805196,0.0013380496602614909
sleep_duration,0.001989792147392211,0.001122956367837136
degree_category_pg,0.0009826050389874497,0.0009430017372838402
dietary_habits_moderate,0.0006324666898558706,0.0007314770130618296
city_srinagar,0.00039379906116786544,0.00013701841459959203
family_history_mental_illness,0.0003414959665526851,0.0006274211948677619
city_vadodara,0.0003061047589540511,0.0002601694751668114
city_bhopal,0.0002827548926957357,0.0003002223078731855
city_patna,0.00015745067293799765,0.00025928193182523057
city_ghaziabad,0.00015578006642843478,9.542077613878267e-05
city_mumbai,0.0001360042204461509,0.00021169838302085813
city_thane,0.00011616630375724802,0.0002359463279263349
city_jaipur,0.0001038382757910905,0.00031360777615064834
city_nashik,7.87301147414765e-05,0.00013680630445892363
degree_category_ug,5.5436857559743034e-05,0.001075888329025507
city_rajkot,4.118210318393434e-05,0.00018706876647807345
degree_category_school,3.234864744147137e-05,0.0011354896986236253
city_meerut,2.3280239876155574e-05,7.384453851494643e-05
city_kanpur,5.373950225517899e-06,9.270126597629045e-05
degree_category_phd,0.0,0.0
city_pune,-1.0750845075568893e-05,0.0001533686162471336
city_faridabad,-2.3256654968251132e-05,0.00012531208377534477
city_varanasi,-2.505583101997111e-05,0.0001517450143411805
city_lucknow,-3.043899199566269e-05,0.00013842013516344838
city_vasai-virar,-3.401597524428368e-05,0.00023119440195985494
city_nagpur,-4.11754697392408e-05,0.00011545312492120864
city_ahmedabad,-5.192410422294458e-05,0.0003935617339735924
city_visakhapatnam,-6.086913449713238e-05,0.00013585750930224304
city_bangalore,-6.977843175929311e-05,0.00024210393338304202
city_delhi,-0.00013425625533732832,0.00019953459295036238
city_indore,-0.0001575077502348754,0.00016005419864515411
city_ludhiana,-0.00022910674040360623,0.0001729200439303909
city_hyderabad,-0.0002307932403834423,0.0002522256998251132
city_surat,-0.00026309324497820753,0.00020530882650194343
city_chennai,-0.000277466022213968,0.00012938549577899529
gender_female,-0.0003074960370503921,0.000673880551256627
city_kolkata,-0.00031131924027074656,0.000262285721109105
city_agra,-0.00032933304488347304,0.0003004003335911142
city_kalyan,-0.00036497732564805263,0.00033798394504144753
cgpa,-0.0012791591911112566,0.0009895190222534342
gender_male,-0.0014153776938949814,0.000693892262399581
