threshold,recall,precision,f2,flagged_pct
0.1,0.9844798657718121,0.7114277053652622,0.9142968445656409,0.8107643155566479
0.11,0.9828020134228188,0.7211449676823638,0.9163081736409855,0.7984762840992873
0.12,0.9802852348993288,0.727810650887574,0.9166862791244998,0.7891373801916933
0.13,0.9769295302013423,0.7310106716886378,0.915343499449772,0.782993364463013
0.14,0.975251677852349,0.7352941176470589,0.9154985037013703,0.7770951093634799
0.15,0.9744127516778524,0.7395733842725247,0.9162262364912834,0.7719341361513885
0.16,0.972734899328859,0.7427930813581037,0.916021488386791,0.7672646841975915
0.17,0.972734899328859,0.7475822050290135,0.917471118847919,0.7623494716146473
0.18,0.9706375838926175,0.7539915281850765,0.9178897262990877,0.7542393708527894
0.19,0.9681208053691275,0.7564732874467388,0.9168189401763724,0.7498156795281395
0.2,0.9651845637583892,0.7616683217477657,0.9162220275543521,0.7424428606537232
0.21,0.9643456375838926,0.7676126878130217,0.9173250339158886,0.7360530842958958
0.22,0.9626677852348994,0.770392749244713,0.9168997203355973,0.7321209142295404
0.23,0.9618288590604027,0.7744005403579872,0.9174201808434024,0.7276972229048906
0.24,0.959731543624161,0.7784960871044573,0.9170340681362725,0.722290489063652
0.25,0.9567953020134228,0.7800957592339262,0.9153290529695024,0.7186040796264438
0.26,0.9542785234899329,0.7844827586206896,0.914683177870698,0.7127058245269108
0.27,0.951761744966443,0.7873004857737682,0.9135931712030922,0.708282133202261
0.28,0.950503355704698,0.7925848198670864,0.9140782573618395,0.7026296387318751
0.29,0.949244966442953,0.7965505103836678,0.9141956855457704,0.6982059474072254
0.3,0.9463087248322147,0.8011363636363636,0.9132124352331606,0.6920619316785451
0.31,0.9433724832214765,0.8043633762517882,0.9118553357119689,0.6871467190956009
0.32,0.9404362416107382,0.8082191780821918,0.9106417546709992,0.6817399852543623
0.33,0.9391778523489933,0.8124092888243831,0.910754962577286,0.6773162939297125
0.34,0.9366610738255033,0.814963503649635,0.9094982078853047,0.6733841238633571
0.35,0.9324664429530202,0.8169790518191842,0.9068287509178429,0.6687146719095601
0.36,0.9299496644295302,0.8195933456561922,0.9055632709745935,0.6647825018432048
0.37,0.925755033557047,0.8222801788375559,0.9030278232405892,0.6596215286311133
0.38,0.923238255033557,0.8240359415949082,0.9015319079216843,0.6564266404521996
0.39,0.9211409395973155,0.827430293896006,0.9007383100902379,0.652248709756697
0.4,0.9173657718120806,0.8309270516717325,0.8986686390532544,0.6468419759154583
0.41,0.915268456375839,0.8337791364157432,0.8977207273924134,0.6431555664782502
0.42,0.9106543624161074,0.8362865947611711,0.8947411803494889,0.6379945932661588
0.43,0.9089765100671141,0.8389469608981804,0.8940506642462249,0.634799705087245
0.44,0.9043624161073825,0.841858648965248,0.8911300322393982,0.6293929712460063
0.45,0.8984899328859061,0.8453038674033149,0.8873239436619719,0.6227574342590317
0.46,0.8947147651006712,0.8487863111818543,0.8851356959083742,0.6175964610469403
0.47,0.8909395973154363,0.8499399759903962,0.8824262567511425,0.6141558122388794
0.48,0.888003355704698,0.8508842443729904,0.8803226879574185,0.61145244531826
0.49,0.8850671140939598,0.8535598705501618,0.878580946035976,0.6075202752519047
0.5,0.8812919463087249,0.858251633986928,0.8765854472630173,0.6016220201523715
0.51,0.8787751677852349,0.8603696098562629,0.8750313257037842,0.5984271319734579
0.52,0.8745805369127517,0.8615702479338843,0.8719471395115423,0.5947407225362497
0.53,0.8691275167785235,0.8662207357859532,0.8685446009389671,0.5878594249201278
0.54,0.8636744966442953,0.8687763713080169,0.8646900722324878,0.5824526910788892
0.55,0.8611577181208053,0.8717622080679406,0.863257926162644,0.578766281641681
0.56,0.8573825503355704,0.875,0.8608490566037735,0.574096829687884
0.57,0.8523489932885906,0.8769961156668106,0.8571669619505611,0.569427377734087
0.58,0.8460570469798657,0.8796336676842564,0.8525657282948685,0.5635291226345539
0.59,0.8418624161073825,0.884530630233583,0.8500635324015248,0.5576308675350209
0.6,0.8368288590604027,0.8854860186418109,0.8461277462040886,0.5536986974686655
0.61,0.8326342281879194,0.8877459749552773,0.8431022765885151,0.549520766773163
0.62,0.8301174496644296,0.8886394252357431,0.8411969735611664,0.5473089211108381
0.63,0.8246644295302014,0.8899954730647351,0.8369518944231588,0.5428852297861883
0.64,0.8162751677852349,0.8918423464711274,0.8303464755077659,0.5362496927992135
0.65,0.8116610738255033,0.8941774491682071,0.8269230769230769,0.5318260014745638
0.66,0.8074664429530202,0.8978544776119403,0.8240582191780822,0.5269107888916196
0.67,0.8024328859060402,0.900235294117647,0.8202555526970242,0.5222413369378226
0.68,0.7936241610738255,0.9026717557251909,0.813273727647868,0.5151142786925534
0.69,0.7881711409395973,0.9046701974000962,0.8090071471626625,0.5104448267387565
0.7,0.7831375838926175,0.906750849927149,0.8050884001724882,0.5060211354141066
0.71,0.7764261744966443,0.9077979401667484,0.7995680345572355,0.5011059228311624
0.72,0.7697147651006712,0.910218253968254,0.7942347645429363,0.4954534283607766
0.73,0.764261744966443,0.911,0.7897018030513177,0.4915212582944212
0.74,0.7562919463087249,0.9133738601823708,0.7832319721980886,0.4851314819365938
0.75,0.74748322147651,0.9152542372881356,0.7759296351127755,0.47849594494961906
0.76,0.7374161073825504,0.917057902973396,0.7674845018772374,0.47112312607520274
0.77,0.7311241610738255,0.9197889182058048,0.7624004898958971,0.4657163922339641
0.78,0.7223154362416108,0.9218415417558886,0.7549982462293932,0.45908085524698944
0.79,0.7101510067114094,0.9241266375545851,0.74463406052076,0.45023347259768987
0.8,0.7013422818791947,0.9278579356270811,0.7373434468160169,0.44286065372327355
0.81,0.6904362416107382,0.9309954751131222,0.7280608634111819,0.43450479233226835
0.82,0.6791107382550335,0.934757505773672,0.7184061057862975,0.4256574096829688
0.83,0.6661073825503355,0.9368731563421829,0.7069717745525776,0.416564266404522
0.84,0.6514261744966443,0.9406420351302242,0.6941092339322428,0.4057507987220447
0.85,0.6329697986577181,0.9448966812773951,0.6777149016437618,0.39247972474809534
0.86,0.6157718120805369,0.9526281635301752,0.662634287261894,0.37871712951585157
0.87,0.6010906040268457,0.9591700133868809,0.6495920217588396,0.36716637994593265
0.88,0.5822147651006712,0.960553633217993,0.6320007285310991,0.35512410911771936
0.89,0.5616610738255033,0.9626168224299065,0.6127024800951771,0.34185303514376997
0.9,0.5356543624161074,0.9630467571644042,0.5878291290738354,0.3258785942492013
